filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
Testcases_Insecure_Code/CWE-020/author_1.py,yaml_load,B506,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/20.html,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,8,15,0,[8],https://bandit.readthedocs.io/en/1.7.5/plugins/b506_yaml_load.html
Testcases_Insecure_Code/CWE-020/author_2.py,blacklist,B405,LOW,HIGH,https://cwe.mitre.org/data/definitions/20.html,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",1,0,0,"[1, 2]",https://bandit.readthedocs.io/en/1.7.5/blacklists/blacklist_imports.html#b405-import-xml-etree
Testcases_Insecure_Code/CWE-020/author_2.py,blacklist,B314,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/20.html,Using xml.etree.ElementTree.fromstring to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.fromstring with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,7,11,0,[7],https://bandit.readthedocs.io/en/1.7.5/blacklists/blacklist_calls.html#b313-b320-xml-bad-elementtree
Testcases_Insecure_Code/CWE-020/codeql_2.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,2,0,0,"[2, 3]",https://bandit.readthedocs.io/en/1.7.5/blacklists/blacklist_imports.html#b403-import-pickle
Testcases_Insecure_Code/CWE-020/codeql_2.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",15,10,0,[15],https://bandit.readthedocs.io/en/1.7.5/blacklists/blacklist_calls.html#b301-pickle
Testcases_Insecure_Code/CWE-022/author_2.py,blacklist,B310,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/22.html,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,7,15,0,[7],https://bandit.readthedocs.io/en/1.7.5/blacklists/blacklist_calls.html#b310-urllib-urlopen
Testcases_Insecure_Code/CWE-022/codeql_2.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/377.html,Probable insecure usage of temp file/directory.,9,31,0,[9],https://bandit.readthedocs.io/en/1.7.5/plugins/b108_hardcoded_tmp_directory.html
Testcases_Insecure_Code/CWE-078/author_1.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,1,0,0,[1],https://bandit.readthedocs.io/en/1.7.5/blacklists/blacklist_imports.html#b404-import-subprocess
Testcases_Insecure_Code/CWE-078/author_1.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,7,4,0,[7],https://bandit.readthedocs.io/en/1.7.5/plugins/b607_start_process_with_partial_path.html
Testcases_Insecure_Code/CWE-078/author_1.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,7,4,0,[7],https://bandit.readthedocs.io/en/1.7.5/plugins/b603_subprocess_without_shell_equals_true.html
Testcases_Insecure_Code/CWE-078/codeql_1.py,start_process_with_a_shell,B605,HIGH,HIGH,https://cwe.mitre.org/data/definitions/78.html,"Starting a process with a shell, possible injection detected, security issue.",8,8,0,[8],https://bandit.readthedocs.io/en/1.7.5/plugins/b605_start_process_with_a_shell.html
Testcases_Insecure_Code/CWE-079/codeql_1.py,jinja2_autoescape_false,B701,HIGH,HIGH,https://cwe.mitre.org/data/definitions/94.html,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",13,10,0,[13],https://bandit.readthedocs.io/en/1.7.5/plugins/b701_jinja2_autoescape_false.html
Testcases_Insecure_Code/CWE-089/author_1.py,hardcoded_sql_expressions,B608,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,8,19,0,[8],https://bandit.readthedocs.io/en/1.7.5/plugins/b608_hardcoded_sql_expressions.html
Testcases_Insecure_Code/CWE-089/codeql_1.py,hardcoded_sql_expressions,B608,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,9,19,0,[9],https://bandit.readthedocs.io/en/1.7.5/plugins/b608_hardcoded_sql_expressions.html
Testcases_Insecure_Code/CWE-094/author_1.py,blacklist,B307,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of possibly insecure function - consider using safer ast.literal_eval.,6,15,0,[6],https://bandit.readthedocs.io/en/1.7.5/blacklists/blacklist_calls.html#b307-eval
Testcases_Insecure_Code/CWE-094/codeql_1.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,9,8,0,[9],https://bandit.readthedocs.io/en/1.7.5/plugins/b102_exec_used.html
Testcases_Insecure_Code/CWE-094/sonar_1.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,11,4,0,[11],https://bandit.readthedocs.io/en/1.7.5/plugins/b102_exec_used.html
Testcases_Insecure_Code/CWE-095/author_1.py,blacklist,B307,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of possibly insecure function - consider using safer ast.literal_eval.,5,13,0,[5],https://bandit.readthedocs.io/en/1.7.5/blacklists/blacklist_calls.html#b307-eval
Testcases_Insecure_Code/CWE-1204/sonar_1.py,blacklist,B413,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,The pyCrypto library and its module AES are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,1,0,0,[1],https://bandit.readthedocs.io/en/1.7.5/blacklists/blacklist_imports.html#b413-import-pycrypto
Testcases_Insecure_Code/CWE-1204/sonar_1.py,blacklist,B413,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,The pyCrypto library and its module pad are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,2,0,0,"[2, 3]",https://bandit.readthedocs.io/en/1.7.5/blacklists/blacklist_imports.html#b413-import-pycrypto
Testcases_Insecure_Code/CWE-200/author_1.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,12,18,0,[12],https://bandit.readthedocs.io/en/1.7.5/plugins/b608_hardcoded_sql_expressions.html
Testcases_Insecure_Code/CWE-215/author_1.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '4e&6aw+(5&cg^_!05r(&7_#dghg_pdgopq(yk)xa^bog7j)^*j',22,13,0,[22],https://bandit.readthedocs.io/en/1.7.5/plugins/b105_hardcoded_password_string.html
Testcases_Insecure_Code/CWE-215/codeql_1.py,flask_debug_true,B201,HIGH,MEDIUM,https://cwe.mitre.org/data/definitions/94.html,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",12,0,0,[12],https://bandit.readthedocs.io/en/1.7.5/plugins/b201_flask_debug_true.html
Testcases_Insecure_Code/CWE-259/author_1.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'admin',5,19,0,[5],https://bandit.readthedocs.io/en/1.7.5/plugins/b105_hardcoded_password_string.html
Testcases_Insecure_Code/CWE-259/author_2.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'password',7,11,0,[7],https://bandit.readthedocs.io/en/1.7.5/plugins/b106_hardcoded_password_funcarg.html
Testcases_Insecure_Code/CWE-269/mitre_1.py,set_bad_file_permissions,B103,HIGH,HIGH,https://cwe.mitre.org/data/definitions/732.html,Chmod setting a permissive mask 0o777 on file (NOT PARSED).,13,8,0,[13],https://bandit.readthedocs.io/en/1.7.5/plugins/b103_set_bad_file_permissions.html
Testcases_Insecure_Code/CWE-269/mitre_1.py,set_bad_file_permissions,B103,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/732.html,Chmod setting a permissive mask 0o755 on file (NOT PARSED).,14,8,0,[14],https://bandit.readthedocs.io/en/1.7.5/plugins/b103_set_bad_file_permissions.html
Testcases_Insecure_Code/CWE-295/codeql_1.py,request_with_no_cert_validation,B501,HIGH,HIGH,https://cwe.mitre.org/data/definitions/295.html,"Call to requests with verify=False disabling SSL certificate checks, security issue.",8,15,0,[8],https://bandit.readthedocs.io/en/1.7.5/plugins/b501_request_with_no_cert_validation.html
Testcases_Insecure_Code/CWE-295/codeql_1.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,8,15,0,[8],https://bandit.readthedocs.io/en/1.7.5/plugins/b113_request_without_timeout.html
